date,가계신용,가계대출,판매신용
2024-08,637235.0391183804,597987.1736139528,39247.865504398855
2024-09,638964.128255033,599359.4799555229,39604.64829960737
2024-10,640429.0779045441,600376.6085922344,40052.46931261936
2024-11,641150.1389190137,600931.7459677365,40218.39295165784
2024-12,641127.3112984421,601024.8920820291,40102.419216722796
2025-01,640360.5950428294,600656.0469351123,39704.54810781425
2025-02,641141.3460963044,601617.960017549,39523.38607872643
2025-03,643469.5644588665,603910.6313293388,39558.93312945933
2025-04,647345.2501305165,607534.0608704822,39811.18926001297
2025-05,650299.5964942916,610210.3977629065,40089.19873139166
2025-06,652332.6035501916,611939.6420066115,40392.96154359536
2025-07,653444.2712982167,612721.7936015973,40722.477696624126
2025-08,654842.6499508105,613774.9259953959,41067.72395541321
2025-09,656527.739507973,615099.039188007,41428.70031996265
2025-10,658499.5399697047,616694.1331794311,41805.406790272384
2025-11,659814.0736108591,617757.5291737138,42056.54443714553
2025-12,660471.3404314362,618289.2271708549,42182.1132605821
